id,province_id,english,sinhala,tamil
1,1,Colombo,කොළඹ,‎கொழும்பு
2,1,Gampaha,ගම්පහ,கம்‍‍‎ப‍‍ஹ
3,1,Kalutara,කළුතර,களுத்து‍றை
4,2,Kandy,මහනුවර,கண்டி
5,2,Matale,මාතලේ,மாத்த‍‍‍ளை
6,2,Nuwara Eliya,නුවරඑළිය,நுவ‎ரெளியா
7,3,Galle,ගාල්ල,காலி
8,3,Matara,මාතර,மாத்தறை
9,3,Hambantota,හම්බන්තොට,ஹம்பாந்தோட்‍டை
10,4,Jaffna,යාපනය,யாழ்பாணம்
11,4,Mannar,මන්නාරම,மன்னார்
12,4,Vavuniya,වව්නියාව,வவுனியா
13,4,Mullaitivu,මුලතිව්,முள்ளைத்தீவு
14,4,Kilinochchi,කිලිනොච්චි,கிளி‎‎நொச்சி
15,5,Batticaloa,මඩකලපුව,மட்டக்களப்பு
16,5,Ampara,අම්පාර,அம்பா‍‍றை
17,5,Trincomalee,ත්‍රිකුණාමලය,திரு‍கோண‍மலை
18,6,Kurunegala,කුරුණෑගල,குருணாக‍லை
19,6,Puttalam,පුත්තලම,புத்தளம்
20,7,Anuradhapura,අනුරාධපුරය,அநுராதபுரம்
21,7,Polonnaruwa,පොළොන්නරුව,‎பொலண்ணரு‍வை
22,8,Badulla,බදුල්ල,பது‍ளை
23,8,Moneragala,මොනරාගල,‎மொணராக‍லை
24,9,Ratnapura,රත්නපුර,இரத்திணபுரி
25,9,Kegalle,කෑගල්ල,‍‎‍‍‍கேகா‍லை
